GeneID;GeneName
SAOUHSC_00017;rplI
SAOUHSC_00348;rpsF
SAOUHSC_00350;rpsR
SAOUHSC_00474;rplY
SAOUHSC_00518;rplK
SAOUHSC_00519;rplA
SAOUHSC_00520;rplJ
SAOUHSC_00521;rplL
SAOUHSC_00526;rplGB
SAOUHSC_00527;rpsL
SAOUHSC_00528;rpsG
SAOUHSC_01191;rpmB
SAOUHSC_01208;rpsP
SAOUHSC_01211;rplS
SAOUHSC_01250;rpsO
SAOUHSC_01328;rpmG2
SAOUHSC_01329;rpsN2
SAOUHSC_01493;rpsA
SAOUHSC_01651;rpmG
SAOUHSC_01678;rpsU
SAOUHSC_01689;rpsT
SAOUHSC_01755;rpmA
SAOUHSC_01757;rplU
SAOUHSC_01784;rplT
SAOUHSC_01785;rpmI
SAOUHSC_01829;rpsD
SAOUHSC_02361;rpmE2
SAOUHSC_02477;rpsI
SAOUHSC_02478;rplM
SAOUHSC_02484;rplQ
SAOUHSC_02486;rpsK
SAOUHSC_02487;rpsM
SAOUHSC_02488;rpmJ
SAOUHSC_02492;rplO
SAOUHSC_02493;rpmD
SAOUHSC_02494;rpsE
SAOUHSC_02495;rplR
SAOUHSC_02496;rplF
SAOUHSC_02498;rpsH
SAOUHSC_02499;rpsN
SAOUHSC_02500;rplE
SAOUHSC_02501;rplX
SAOUHSC_02502;rplN
SAOUHSC_02503;rpsQ
SAOUHSC_02504;rpmC
SAOUHSC_02505;rplP
SAOUHSC_02506;rpsC
SAOUHSC_02507;rplV
SAOUHSC_02508;rpsS
SAOUHSC_02509;rplB
SAOUHSC_02510;rplW
SAOUHSC_02511;rplD
SAOUHSC_02512;rplC
SAOUHSC_02512a;rpsJ
SAOUHSC_03055;rpmH
SAOUHSC_R0001;rrsA
SAOUHSC_R00010;rrlF
SAOUHSC_R00011;rrfA
SAOUHSC_R00012;rrfB
SAOUHSC_R00013;rrfC
SAOUHSC_R00014;rrfE
SAOUHSC_R00015;rrfF
SAOUHSC_R00016;rrfC
SAOUHSC_R0002;rrsB
SAOUHSC_R0003;rrsD
SAOUHSC_R0004;rrsE
SAOUHSC_R0005;rrsF
SAOUHSC_R0006;rrl1
SAOUHSC_R0007;rrlC
SAOUHSC_R0008;rrl3
SAOUHSC_R0009;rrlE
SAOUHSC_00009;serS
SAOUHSC_00461;metS
SAOUHSC_00493;lysS
SAOUHSC_00509;gltX
SAOUHSC_00511;cysS
SAOUHSC_00611;argS
SAOUHSC_00933;trpS
SAOUHSC_01092;pheS
SAOUHSC_01093;pheT
SAOUHSC_01159;ileS
SAOUHSC_01183;fmt
SAOUHSC_01240;proS
SAOUHSC_01471;asnC
SAOUHSC_01666;glyS
SAOUHSC_01722;alaS
SAOUHSC_01737;aspS
SAOUHSC_01738;hisS
SAOUHSC_01767;valS
SAOUHSC_01788;thrS
SAOUHSC_01839;tyrS
SAOUHSC_01875;leuS
SAOUHSC_02116;gatB
SAOUHSC_02117;gatA
SAOUHSC_02118;gatC
SAOUHSC_T0001;trnaA
SAOUHSC_T00010;trnaN
SAOUHSC_T00011;trnaD
SAOUHSC_T00012;trnaD
SAOUHSC_T00013;trnaD
SAOUHSC_T00014;trnaD
SAOUHSC_T00015;trnaC
SAOUHSC_T00016;trnaQ
SAOUHSC_T00017;trnaQ
SAOUHSC_T00018;trnaE
SAOUHSC_T00019;trnaE
SAOUHSC_T0002;trnaA
SAOUHSC_T00020;trnaE
SAOUHSC_T00021;trnaG
SAOUHSC_T00022;trnaG
SAOUHSC_T00023;trnaG
SAOUHSC_T00024;trnaG
SAOUHSC_T00025;trnaG
SAOUHSC_T00026;trnaH
SAOUHSC_T00027;trnaH
SAOUHSC_T00028;-
SAOUHSC_T00029;-
SAOUHSC_T0003;-
SAOUHSC_T00030;trnaL
SAOUHSC_T00031;trnaL
SAOUHSC_T00032;trnaL
SAOUHSC_T00033;trnaL
SAOUHSC_T00034;trnaL
SAOUHSC_T00035;trnaK
SAOUHSC_T00036;trnaK
SAOUHSC_T00037;trnaK
SAOUHSC_T00038;trnaM
SAOUHSC_T00039;trnaM
SAOUHSC_T0004;trnaR
SAOUHSC_T00040;trnaM
SAOUHSC_T00041;trnaM
SAOUHSC_T00042;trnaF
SAOUHSC_T00043;trnaL
SAOUHSC_T00044;trnaP
SAOUHSC_T00045;trnaP
SAOUHSC_T00046;-
SAOUHSC_T00047;-
SAOUHSC_T00048;-
SAOUHSC_T00049;trnaS
SAOUHSC_T0005;trnaR
SAOUHSC_T00050;trnaS
SAOUHSC_T00051;trnaS
SAOUHSC_T00052;trnaS
SAOUHSC_T00053;trnaT
SAOUHSC_T00054;trnaT
SAOUHSC_T00055;trnaT
SAOUHSC_T00056;trnaW
SAOUHSC_T00057;trnaY
SAOUHSC_T00058;trnaY
SAOUHSC_T00059;trnaV
SAOUHSC_T0006;trnaR
SAOUHSC_T00060;trnaV
SAOUHSC_T00061;trnaV
SAOUHSC_T0007;trnaR
SAOUHSC_T0008;trnaN
SAOUHSC_T0009;trnaN
SAOUHSC_01246;infB
SAOUHSC_01786;infC
SAOUHSC_02274;vga
SAOUHSC_01234;tsf
SAOUHSC_00530;tuf
SAOUHSC_00529;fusA
SAOUHSC_02359;prfA
SAOUHSC_01236;frr
SAOUHSC_02358;prmC
SAOUHSC_00475;pth
SAOUHSC_02489;infA
SAOUHSC_01625;efp
SAOUHSC_00771;prfB
SAOUHSC_00956;prfC
