# Program:featureCounts v1.4.6-p3; Command:"./subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379721" "SRR10379722" "SRR10379723" "SRR10379724" "SRR10379725" "SRR10379726" 
Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00001	20678	17047	13186	14120	19569	3990
gene-SAOUHSC_00002	15976	12174	11155	12125	15034	2119
gene-SAOUHSC_00003	1622	1213	874	1375	1016	126
gene-SAOUHSC_00004	13994	11418	9933	7582	6709	839
gene-SAOUHSC_00005	29539	26379	24185	12046	12073	3492
gene-SAOUHSC_00006	45169	33351	32195	18910	12471	4001
gene-SAOUHSC_00007	7039	4917	4753	3552	5008	1208
gene-SAOUHSC_00008	3221	2562	2419	1358	1972	311
gene-SAOUHSC_00009	2467	1979	1432	40247	77893	13348
gene-SAOUHSC_00010	353	302	274	2154	4633	273
gene-SAOUHSC_00012	210	175	171	1161	2752	299
gene-SAOUHSC_00013	1351	1315	999	4711	8955	1895
gene-SAOUHSC_00014	4655	3433	3543	7026	8905	1176
gene-SAOUHSC_00015	25865	21834	22438	20876	25792	5822
gene-SAOUHSC_00017	6389	5531	5664	5238	6496	1042
gene-SAOUHSC_00018	11773	10372	8760	14311	19500	6291
gene-SAOUHSC_00019	7007	6279	6876	8575	5225	3218
gene-SAOUHSC_T00018	86	42	38	47	7	130
gene-SAOUHSC_T00011	370	361	159	229	31	200
gene-SAOUHSC_00020	3874	3551	2698	3918	5993	921
gene-SAOUHSC_00021	12378	10600	8368	11363	13107	6165
gene-SAOUHSC_00022	12999	11016	9137	10257	12036	1989
gene-SAOUHSC_00023	9543	7827	7311	6826	8127	2075
gene-SAOUHSC_00024	2795	1710	1851	1344	1082	373
gene-SAOUHSC_00025	2873	2071	2138	1241	1550	675
gene-SAOUHSC_00026	105	50	114	17	21	2
gene-SAOUHSC_00027	378	330	288	324	527	146
gene-SAOUHSC_00028	12	17	12	30	40	7
gene-SAOUHSC_00029	1	3	7	18	9	3
gene-SAOUHSC_00030	1582	1159	1334	2385	3944	296
gene-SAOUHSC_00031	28563	18112	29748	2106	2327	325
gene-SAOUHSC_00032	57	28	128	22	40	18
gene-SAOUHSC_00033	14292	9538	16213	1466	1161	149
gene-SAOUHSC_00034	3690	2781	3282	332	323	20
gene-SAOUHSC_00035	24767	16411	25479	1015	473	39
gene-SAOUHSC_00036	46774	32714	48401	2067	1140	283
gene-SAOUHSC_00037	45173	29474	42561	8533	8156	3304
gene-SAOUHSC_00038	384	302	274	228	164	21
gene-SAOUHSC_00039	4202	3781	3012	3478	4314	2013
gene-SAOUHSC_00040	40	30	38	33	51	6
gene-SAOUHSC_00041	753	581	581	455	635	68
gene-SAOUHSC_00042	1965	1403	1598	1005	1112	140
gene-SAOUHSC_00043	782	540	618	268	223	33
gene-SAOUHSC_00044	1883	1313	1546	805	977	73
gene-SAOUHSC_00045	144	91	154	316	521	72
gene-SAOUHSC_00046	422	325	391	491	707	34
gene-SAOUHSC_00047	728	423	502	497	946	50
gene-SAOUHSC_00049	2760	1817	2104	2405	3242	332
gene-SAOUHSC_00050	1498	923	1216	938	1305	113
gene-SAOUHSC_00051	458	232	256	510	725	195
