# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-F" "GFF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379726_1_trimmed.bam" "SRR10379723_1_trimmed.bam" "SRR10379725_1_trimmed.bam" "SRR10379722_1_trimmed.bam" "SRR10379724_1_trimmed.bam" "SRR10379721_1_trimmed.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_1_trimmed.bam	SRR10379723_1_trimmed.bam	SRR10379725_1_trimmed.bam	SRR10379722_1_trimmed.bam	SRR10379724_1_trimmed.bam	SRR10379721_1_trimmed.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	3990	13186	19569	17047	14120	20678
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	2119	11155	15034	12174	12125	15976
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	126	874	1016	1213	1375	1622
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	839	9933	6709	11418	7582	13994
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	3492	24185	12073	26379	12046	29539
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	4001	32195	12471	33351	18910	45169
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	1208	4753	5008	4917	3552	7039
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	311	2419	1972	2562	1358	3221
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	13348	1432	77893	1979	40247	2467
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	273	274	4633	302	2154	353
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	299	171	2752	175	1161	210
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	1895	999	8955	1315	4711	1351
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	1176	3543	8905	3433	7026	4655
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	5822	22438	25792	21834	20876	25865
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	1042	5664	6496	5531	5238	6389
